<DATE>,close,returns,lag_1,direction,position,strategy,strategy_tc
2021-02-03 12:00:00,37315.2,0.04623241728454664,1.0,1,-1,-0.04623241728454664,-0.05123241728454664
2021-02-04 06:00:00,37293.5,-0.0005817016142057274,1.0,-1,-1,0.0005817016142057274,0.0005817016142057274
2021-02-05 00:00:00,37293.5,0.0,0.0,-1,-1,-0.0,-0.0
2021-02-05 18:00:00,37840.0,0.014547695454006705,1.0,1,-1,-0.014547695454006705,-0.014547695454006705
2021-02-06 12:00:00,40060.7,0.057029059690645714,1.0,1,-1,-0.057029059690645714,-0.057029059690645714
2021-02-07 06:00:00,38828.3,-0.031246441671169117,1.0,-1,-1,0.031246441671169117,0.031246441671169117
2021-02-08 00:00:00,38828.3,0.0,0.0,-1,-1,-0.0,-0.0
2021-02-08 18:00:00,44667.9,0.14010576063874347,1.0,1,-1,-0.14010576063874347,-0.14010576063874347
2021-02-09 12:00:00,46880.5,0.04834668789899347,1.0,1,-1,-0.04834668789899347,-0.04834668789899347
2021-02-10 06:00:00,45229.5,-0.03585228192201419,1.0,-1,-1,0.03585228192201419,0.03585228192201419
2021-02-11 00:00:00,45229.5,0.0,0.0,-1,-1,-0.0,-0.0
2021-02-11 18:00:00,47571.7,0.05048851779568183,1.0,1,-1,-0.05048851779568183,-0.05048851779568183
